?#.???#???????##?.? 2,1,7,3,1
?##?.#??#?? 2,1,2
.???#?.???????##.?? 2,3
?#??#??.?.????..?? 1,4,1,1,1,1
?.????????. 1,6,1
?????##?#????.#. 8,1,1
?..????????????????? 1,11,1,1
..?#?????#...? 1,3
?.?#???#.?? 2,2,1
##??.???.?? 3,1,1
???##??.?.#? 5,1
??.?..#??.?.? 1,3
.???.?##????????? 3,11
#..?#???#??.???? 1,8,2
.??????.?.?.????#?#? 5,1,2,5
.?????#???#???..??? 5,3,1,2
?????#????.? 8,1
.??#.??????##?.. 1,9
#???#?#..??#?#???# 1,1,1,1,7,1
#.?#??##???#. 1,1,2,1
.??????.?#???? 4,5
???##?.??????.#.??.? 3,6,1,1
????.#??????? 1,4,1
??##?.???? 3,1
.??##?????#?#???#? 1,4,6,1
??#?####?##?.??#?#? 12,3
#.?.??##?#.????? 1,1,4,1,1
???????..# 1,1
?????#??????#. 2,5,4
??#???#???.??#? 7,1,1,1
??????.?###. 2,4
?#.??#??#????. 1,8
???#???##??#?? 1,9,1
??###?????????? 11,2
??...??.#?#??#??. 2,1,1,1,3
???.????#??.?. 3,1,2,1
??###??#????. 1,3,2,2
??#???????##?? 4,1,5
?#????????#.??? 1,7,1,1
???#???#?????# 1,1,7
?????.??.?????? 2,1,2,1
??????#?#??#?.?? 1,1,3,1,1
?##?#??#?.#? 2,1,1,1
?.???.??.??????? 1,1,2,2
????????..???#? 1,1,1,1,2
??????.##?.?###????? 5,3,3,2
#???????## 1,1,5
???.??#??#??#.# 2,1,1,5,1
???#????.#?#? 4,2,3
??.#??##????? 2,7,1
???#?.?.?????? 5,1,2,1
???.????.? 1,1,1
???????##???????. 1,8,1
??.?#???.#??#?? 1,1,2,2,1
?.???????.??#??#?.?? 7,6
?????..?#???. 2,3
???##??#??.?? 9,1
??#?##??#??.???#?? 11,5
????????#??#??# 4,9
.??.?.???? 1,1,1
??????##.???? 3,3,2,1
????????#???#??#???? 1,11
#.????#?????#?#???? 1,1,1,4,5,1
??..????????.??.???? 2,1
#.?#?#?..?.###?#?? 1,2,2,1,5,1
?????.#.??# 4,1,1
?.?.?????????????#? 1,9,1
???..###?.? 2,3
???#???#.####???? 3,1,6
?#???#??????##?..? 1,7,3
????#.????#??.??.?? 4,1,3,1,1
???#??????? 2,2
#.??.???#??#???#? 1,1,4,2,3
#???#.???????##??? 1,1,2,1,5
.????#?????#????? 1,4,5
??#..#??#? 1,1,1
..?#?????. 3,1
??.???##?? 1,2,3
????.????? 1,1,1
?##???.#?#???.#.#? 2,1,1,3,1,1
??.#?????##?#..??.?? 1,2,1,5,2,1
.??????#??#????#.? 1,4,1,4
??#?#?#?##????.?? 1,10,1,1
.????????# 2,1,1
??#???.????.##?? 3,1,2,4
???.##?.???.???#?.?? 2,2,2,1,2,2
?##?????#?????#?? 2,4,1,4
??.?#??#???????.?? 2,2,1
#??#??????.????#? 1,7,3
?.#???#.#? 1,5,1
.?#?????#??.? 4,3,1
.##??.?????.?? 4,1,2,1
???#??#?.?? 1,3,2
?##???#????. 2,1,1,2
????.###?? 2,3
#.??#?????????????? 1,5,6,1,1
????#????#?.# 2,7,1
????.??#.? 3,1
??????..?##.?????? 2,1,3,1,1,1
?#??.?##?#??? 1,1,7
#?.??.#..??? 2,1,1,1
??????#??.??#??# 1,2,3,1
??##??##??#?.. 1,2,3,3
??????????? 1,6,1
??????.##???#??? 2,8
#????????#?? 1,1,1,2
???????.??? 2,2,1
?.????..??.?.?? 1,3,2,1
#??.#?#???? 1,3,1
???###.?..#???.#??. 6,1,1,1,3
.#??????#?#????? 2,2,3,4
?????..#.#? 3,1,1
.?????#.???#?? 6,3
.#??##.???#?#?#???? 1,2,1,6,1
.??#????#?#.?????.? 9,1,1,1
?????????#??. 3,3
?#..?#???#? 2,1,3
.#.??#?###.??? 1,6,2
?.??.?#?.? 1,2,3
??#.????????.???#? 1,1,1,2,4
???????#??#?#??.? 2,1,4,1,1
?????#???..#?? 1,2,1,2
.???#?#???????? 3,1,2,4
???##??.??#?. 5,3
?#.??#??.? 2,3,1
.#.?#?#????.??????? 1,6,1,3,1,1
?????#???????##??# 1,3,7,1
.???????#??.? 1,2,2,1
?#??####??? 8,1
??????.??##???##?#?? 2,1,5,4
?.???????..??.?##??? 1,4,1,1,6
??#?#???????????..#? 3,5,1,1,2,1
??#???#.???.?? 2,1,1,2
?##?##.?????##??# 2,2,7,1
????.???#?#?.?#? 1,2,2,4,2
?#.?#?.?#? 2,1,3
???????#?#??? 1,8,1
??????#??#??. 4,3,1,1
???#??##?#??.?.???#? 2,5,2,1,1,1
.??#??.??###??.?? 3,6
?????#.?#??? 3,1,3
???.??.??#???? 1,1,3,1
.?.?.###???#?????# 1,1,7,1,2
.?##?.??.#??###.?. 4,2,6,1
##.??#???#####?#??? 2,3,10
??????????? 1,1,3
?.???##???..?. 1,5,1,1
??#?#?#?#?#???# 10,2
???#?#??#?##??#???? 16,1
.?..?.??.?#??.# 1,1,2,4,1
?#.?#????#.??#? 1,1,2,1,3
?.#???#???#?#??? 6,4
?..???.#?#??.??.?.? 1,2,5,1,1
?#.????##??###???? 2,5,7
.##????###??#..#???? 10,1,3
?#??.???.?# 4,2,1
????##?????.??#?.?.? 1,7,3,1
?##??.???#????????#? 2,1,3,8
????#??..???.?????. 2,3,1,3
?#.#???#???.??.???? 2,2,1,1,2,1
...?????.?? 1,2,1
